Time,SI max,Transient Response Time Mean,Transient Response Time CI95
0.0,10,0.0,0.0
100.0,10,0.3026147815492586,0.030329920792332
200.0,10,0.3125638986640711,0.0267949190680444
300.0,10,0.3125913566953246,0.0210881653052653
400.0,10,0.3068872044606012,0.0168773022301423
500.0,10,0.3102999140970659,0.0149348741202855
600.0,10,0.3082566800043348,0.013185961820964
700.0,10,0.3082399643561117,0.0123910561749557
800.0,10,0.3117535458546007,0.0111845026208886
900.0,10,0.3104854315973806,0.0099024852001002
1000.0,10,0.3094614629770325,0.0097467089216411
1100.0,10,0.3095828774953171,0.0096581269183028
1200.0,10,0.3099988409188801,0.0094001141307222
1300.0,10,0.3111091356903917,0.0099150668040341
1400.0,10,0.3123995022665089,0.0096189709129508
1500.0,10,0.3114203733948948,0.0090703111148666
1600.0,10,0.3119067030857097,0.0089174819629802
1700.0,10,0.3130982880172114,0.0089830986989996
1800.0,10,0.3137683882074263,0.008448602726585
1900.0,10,0.3133101989573336,0.0080419104376341
2000.0,10,0.3151158171987909,0.007691778484216
2100.0,10,0.3139980983467117,0.0076019211909225
2200.0,10,0.3128812531887883,0.0073206479919016
2300.0,10,0.3138117385179549,0.0074750611256306
2400.0,10,0.3142270675481031,0.0073881114301441
2500.0,10,0.3149820535477022,0.0073554592628457
2600.0,10,0.3143786481482232,0.0072040216807892
2700.0,10,0.3149792890795203,0.0071155761908358
2800.0,10,0.3149612491725745,0.006783211960871
2900.0,10,0.3160675459698861,0.0068563797375685
3000.0,10,0.316146391173467,0.0066647715029599
3100.0,10,0.3157093771656673,0.0064694988610598
3200.0,10,0.3152735690719141,0.0061975370903857
3300.0,10,0.3154744226091593,0.0061484145698696
3400.0,10,0.3149986308328154,0.0059081832620484
3500.0,10,0.3149868434059027,0.005807898962819
3600.0,10,0.314713664818168,0.0057681030639531
3700.0,10,0.3150365159900459,0.0055708949576771
3800.0,10,0.3143551662701705,0.0054371136040896
3900.0,10,0.3139688737271928,0.0051634467067727
4000.0,10,0.3151678946516399,0.0053204230974992
4100.0,10,0.3149836401849729,0.0053355123161096
4200.0,10,0.3147558395968142,0.0053819828423658
4300.0,10,0.3144504968055004,0.0052592009969497
4400.0,10,0.3141637790370842,0.005320657478079
4500.0,10,0.3147457841826741,0.0052685817604865
4600.0,10,0.314837037838401,0.005250923760162
4700.0,10,0.314734256853834,0.0051264523775471
4800.0,10,0.3154556623849875,0.0050920798615704
4900.0,10,0.3157542014200026,0.0050452937277471
5000.0,10,0.3167267483159001,0.0053699746227614
0.0,20,0.0,0.0
100.0,20,0.3024270639661129,0.0312483651645521
200.0,20,0.3174064942876846,0.0285725975308266
300.0,20,0.3172233077279589,0.0225294698988273
400.0,20,0.3103362528170212,0.0176175277606421
500.0,20,0.3138285627241797,0.0155611696602182
600.0,20,0.310940224806838,0.0137100997481307
700.0,20,0.3117704688509345,0.012971041318682
800.0,20,0.3152261942935934,0.01180105339271
900.0,20,0.3135206787846914,0.0105619621855688
1000.0,20,0.3128300284010932,0.0103581862700286
1100.0,20,0.312388074008093,0.0101368368987658
1200.0,20,0.3131774395608376,0.0099696361411686
1300.0,20,0.314386942612088,0.0111324236945015
1400.0,20,0.3150037133337572,0.0106612314785735
1500.0,20,0.3134233604420685,0.0099308505808116
